
randomized dictionary size: 64
neuron num 		 error 		 order
64 		 0.009962917550428956 		 2.2157272155390593 
128 		 0.0024194064665794186 		 2.0419151181793804 
256 		 0.0006252519621124486 		 1.9521435813307988 
512 		 0.00015644155355387735 		 1.998813911716585 

randomized dictionary size: 256
neuron num 		 error 		 order
4 		 0.42841947097664357 		 * 
8 		 0.2990159486674112 		 0.5188016139895808 
16 		 0.12110140382639227 		 1.3040068466848709 
32 		 0.03563068671686212 		 1.7650233948934155 
64 		 0.009384495154435736 		 1.9247692476147917 
128 		 0.002077661312624371 		 2.175318642071558 
256 		 0.0005596536805003863 		 1.8923542405267526 
512 		 0.00014504698306710474 		 1.9480140603987675 

randomized dictionary size: 1024
neuron num 		 error 		 order
4 		 0.42720742082679136 		 * 
8 		 0.2884381007496308 		 0.5666749600853179 
16 		 0.10790162647153305 		 1.4185451358881707 
32 		 0.03848828157780175 		 1.487225447323866 
64 		 0.007608057433133847 		 2.3388192169961606 
128 		 0.0022678687583053622 		 1.7461909832757125 
256 		 0.000534528325779116 		 2.084998847325648 
512 		 0.0001398458401900829 		 1.9344290609088886 


randomized dictionary size: 64
neuron num 		 error 		 order
4 		 0.4271061215886383 		 * 
8 		 0.28908119935291243 		 0.5631197909196057 
16 		 0.12515349620112637 		 1.2077761912242115 
32 		 0.039967991900461186 		 1.6467815989074972 
64 		 0.010316184001871592 		 1.953935678979921 
128 		 0.002603836453866948 		 1.986198669466819 
256 		 0.0005965833760796539 		 2.1258431537888023 
512 		 0.00015750098330269622 		 1.9213629416284839 

randomized dictionary size: 128
neuron num 		 error 		 order
4 		 0.42762618255727425 		 * 
8 		 0.3086869529076869 		 0.47020568193945156 
16 		 0.13363097089374834 		 1.2078900948588946 
32 		 0.04613883361962428 		 1.534200973272761 
64 		 0.009732863428939285 		 2.2450453169533446 
128 		 0.002348375562877315 		 2.051201162140123 
256 		 0.0005901289916030296 		 1.9925609079450104 
512 		 0.0001509199984379323 		 1.9672463458511535 

randomized dictionary size: 256
neuron num 		 error 		 order
4 		 0.42825383938036754 		 * 
8 		 0.29476310395034516 		 0.5389102295191741 
16 		 0.11914142545928226 		 1.3068808255727915 
32 		 0.03873910363512474 		 1.620812647685544 
64 		 0.008388440505723562 		 2.207316043132265 
128 		 0.0023562138866006317 		 1.8319321177366106 
256 		 0.0005757370914633645 		 2.0329884415519945 
512 		 0.00014131903619661845 		 2.0264543447598777 

randomized dictionary size: 512
neuron num 		 error 		 order
4 		 0.42694810011039713 		 * 
8 		 0.2873996360499071 		 0.5710024713978658 
16 		 0.09399598289405144 		 1.6123872280635574 
32 		 0.03616861995885767 		 1.3778605497357772 
64 		 0.007677380769747855 		 2.2360524445853094 
128 		 0.0023302480339652074 		 1.7201306772449572 
256 		 0.0005528027851831232 		 2.0756467353974895 
512 		 0.00013878332737297393 		 1.9939306231866556 

randomized dictionary size: 1024
neuron num 		 error 		 order
4 		 0.4273134540022263 		 * 
8 		 0.2889655442899763 		 0.5643972623884271 
16 		 0.10849370711238158 		 1.4132861133027088 
32 		 0.03858614464121286 		 1.4914565570102152 
64 		 0.008323174183655387 		 2.2128771686578834 
128 		 0.0022418636734610337 		 1.89243527824006 
256 		 0.000534632786598639 		 2.06807833195593 
512 		 0.00013897726412115177 		 1.9436994285587512 

