
deterministic dictionary size: 1024
neuron num 		 error 		 order
8 		 0.28880376213906817 		 0.5644356138577915 
16 		 0.1077874867464134 		 1.421899833188183 
32 		 0.038021629228932055 		 1.5032974446238396 
64 		 0.007290128415675907 		 2.3828042198994543 
128 		 0.0021809355597185356 		 1.7409970846818548 
256 		 0.0005737549677584926 		 1.9264404981604695 
512 		 0.00015690721410349895 		 1.87052305546522 

deterministic dictionary size: 4096
neuron num 		 error 		 order
4 		 0.42713623698861636 		 * 
8 		 0.2889320950919543 		 0.5639658272584978 
16 		 0.10779017309334285 		 1.4225048120324113 
32 		 0.03824152162999996 		 1.4950138235038186 
64 		 0.007475706708262419 		 2.354858054725449 
128 		 0.0021046736622006286 		 1.8286134142719017 
256 		 0.0005061354982945027 		 2.0560009873844876 
512 		 0.00013072784168195045 		 1.95295723173488 

deterministic dictionary size: 16384
neuron num 		 error 		 order
4 		 0.4271558844979255 		 * 
8 		 0.288955963681015 		 0.5639130114864176 
16 		 0.10767482043649361 		 1.4241687279218618 
32 		 0.03810540460107036 		 1.4986133786727402 
64 		 0.007426452534007774 		 2.3592504996786974 
128 		 0.0021032507710036057 		 1.8200523559612514 
256 		 0.0005088014616757391 		 2.047446152849524 
512 		 0.0001295782722158393 		 1.9732789888864433 


deterministic dictionary size: 1024
neuron num 		 error 		 order
4 		 0.4319593364740591 		 * 
8 		 0.38943809125529255 		 0.14950150509954546 
16 		 0.26884968474751875 		 0.5345942222171108 
32 		 0.08482818323316398 		 1.6641842107721945 
64 		 0.033289517380191265 		 1.3494757090884506 
128 		 0.00811222510155816 		 2.036898364400249 
256 		 0.002220670127473598 		 1.8691025837642692 
512 		 0.0006277789145773399 		 1.8226666231029833 

deterministic dictionary size: 4096
neuron num 		 error 		 order
4 		 0.43216839214742675 		 * 
8 		 0.40122255118202477 		 0.10719086390209653 
16 		 0.24724617198727913 		 0.6984545120964347 
32 		 0.07032825393764501 		 1.81377187988638 
64 		 0.03066899170927762 		 1.1973236629480233 
128 		 0.008153006690996079 		 1.9113766324262462 
256 		 0.0020878413581488175 		 1.9653201041994273 
512 		 0.0005146408092149669 		 2.0203743274189394 

deterministic dictionary size: 16384
neuron num 		 error 		 order
4 		 0.43217319765485135 		 * 
8 		 0.4012286327298224 		 0.1071850383516932 
16 		 0.24741257090050406 		 0.6975057593933299 
32 		 0.07026596724989634 		 1.8160207987825614 
64 		 0.030641317283298417 		 1.1973477801741967 
128 		 0.007506412588111935 		 2.029282825778097 
256 		 0.002066824892524786 		 1.860707425200678 
512 		 0.0005201861796107567 		 1.9903161894286279 


deterministic dictionary size: 1024
neuron num 		 error 		 order
4 		 0.4319593364740591 		 * 
8 		 0.38943809125529255 		 0.14950150509954546 
16 		 0.26884968474751875 		 0.5345942222171108 
32 		 0.08482818323316398 		 1.6641842107721945 
64 		 0.033289517380191265 		 1.3494757090884506 
128 		 0.00811222510155816 		 2.036898364400249 
256 		 0.002220670127473598 		 1.8691025837642692 
512 		 0.0006277789145773399 		 1.8226666231029833 

deterministic dictionary size: 4096
neuron num 		 error 		 order
4 		 0.43216839214742675 		 * 
8 		 0.40122255118202477 		 0.10719086390209653 
16 		 0.24724617198727913 		 0.6984545120964347 
32 		 0.07032825393764501 		 1.81377187988638 
64 		 0.03066899170927762 		 1.1973236629480233 
128 		 0.008153006690996079 		 1.9113766324262462 
256 		 0.0020878413581488175 		 1.9653201041994273 
512 		 0.0005146408092149669 		 2.0203743274189394 

deterministic dictionary size: 16384
neuron num 		 error 		 order
4 		 0.43217319765485135 		 * 
8 		 0.4012286327298224 		 0.1071850383516932 
16 		 0.24741257090050406 		 0.6975057593933299 
32 		 0.07026596724989634 		 1.8160207987825614 
64 		 0.030641317283298417 		 1.1973477801741967 
128 		 0.007506412588111935 		 2.029282825778097 
256 		 0.002066824892524786 		 1.860707425200678 
512 		 0.0005201861796107567 		 1.9903161894286279 


deterministic dictionary size: 1024
neuron num 		 error 		 order
4 		 0.427085568635989 		 * 
8 		 0.28880376213906817 		 0.5644356138577915 
16 		 0.1077874867464134 		 1.421899833188183 
32 		 0.038021629228932055 		 1.5032974446238396 
64 		 0.007290128415675907 		 2.3828042198994543 
128 		 0.0021809355597185356 		 1.7409970846818548 
256 		 0.0005737549677584926 		 1.9264404981604695 
512 		 0.00015690721410349895 		 1.87052305546522 

deterministic dictionary size: 4096
neuron num 		 error 		 order
4 		 0.42713623698861636 		 * 
8 		 0.2889320950919543 		 0.5639658272584978 
16 		 0.10779017309334285 		 1.4225048120324113 
32 		 0.03824152162999996 		 1.4950138235038186 
64 		 0.007475706708262419 		 2.354858054725449 
128 		 0.0021046736622006286 		 1.8286134142719017 
256 		 0.0005061354982945027 		 2.0560009873844876 
512 		 0.00013072784168195045 		 1.95295723173488 

deterministic dictionary size: 16384
neuron num 		 error 		 order
4 		 0.4271558844979255 		 * 
8 		 0.288955963681015 		 0.5639130114864176 
16 		 0.10767482043649361 		 1.4241687279218618 
32 		 0.03810540460107036 		 1.4986133786727402 
64 		 0.007426452534007774 		 2.3592504996786974 
128 		 0.0021032507710036057 		 1.8200523559612514 
256 		 0.0005088014616757391 		 2.047446152849524 
512 		 0.0001295782722158393 		 1.9732789888864433 

