ReLU k 524288, Numerical Integration MC points: 4 
ReLU k 524288, Numerical Integration MC points: 4 
ReLU k 524288, Numerical Integration MC points: 4 
ReLU k 524288, Numerical Integration MC points: 4 
dictionary size: 1024
neuron num 		 error 		 order -0.95 		 h10 error 		 order -0.85 
4 		 0.4975355741966122 		 * 		 0.649612988634623 		 * 
8 		 0.3743148965278351 		 0.41054721920995013 		 0.6338712858725865 		 0.0353905627220847 
16 		 0.2616402550687833 		 0.5166679379934919 		 0.5191765775100036 		 0.2879646178726406 
32 		 0.13257860428551915 		 0.9807365558468002 		 0.31494610414445723 		 0.7211203327434808 
64 		 0.04196645690538028 		 1.6595393988388565 		 0.21739527920181093 		 0.5347843531367936 
128 		 0.01710888128400063 		 1.294491238278262 		 0.12602147623218565 		 0.7866509974020705 
256 		 0.007050815783677686 		 1.2788833349528563 		 0.06088506014483593 		 1.0495094437590478 
512 		 0.0016000368173044316 		 2.1396850855431553 		 0.014030775430431021 		 2.1174935221919102 
1024 		 0.0014814900484299662 		 0.1110561669614821 		 0.014065637955547784 		 -0.003580244725209205 

dictionary size: 1024
neuron num 		 error 		 order -0.95 		 h10 error 		 order -0.85 
4 		 0.5169107698380659 		 * 		 0.6534331738583344 		 * 
8 		 0.35481545766791944 		 0.5428463985980836 		 0.6479859804548661 		 0.012077100258460378 
16 		 0.18248411985103613 		 0.9592979394347766 		 0.505429692854811 		 0.3584521780669959 
32 		 0.10819578659046153 		 0.7541266049494619 		 0.3219516794601743 		 0.6506662460420559 
64 		 0.05416755976901838 		 0.9981433137297794 		 0.22326936460580044 		 0.5280588671646056 
128 		 0.01610480350744558 		 1.7499380406308702 		 0.12436177274095847 		 0.8442422215092965 
256 		 0.006890848492146631 		 1.224737516078297 		 0.059931559710343245 		 1.0531552616936526 
512 		 0.0017486824138781855 		 1.978413338829512 		 0.015380632610726147 		 1.9622010772658887 
1024 		 0.0014644870112729314 		 0.2558729008555601 		 0.013637312214258838 		 0.17355551228486757 

dictionary size: 1024
neuron num 		 error 		 order -0.95 		 h10 error 		 order -0.85 
4 		 0.5225254350499386 		 * 		 0.6543075014862163 		 * 
8 		 0.44625473231372725 		 0.22763379688840216 		 0.6442568893587666 		 0.022332751342413346 
16 		 0.3046211597429598 		 0.5508513098103598 		 0.47052509106773277 		 0.4533644019307756 
32 		 0.1541741455559959 		 0.9824553076693049 		 0.3504699010828116 		 0.4249811090988256 
64 		 0.03088126486270967 		 2.319757100686258 		 0.20369330271837574 		 0.7828920022295166 
128 		 0.015331623806916115 		 1.010221340841205 		 0.12034742411680148 		 0.7591932832679636 
256 		 0.007293525026544159 		 1.071822348414783 		 0.06343488860610633 		 0.9238568303150748 
512 		 0.0017355042441350031 		 2.071261357404926 		 0.015164442000015066 		 2.06458411500795 
1024 		 0.0014134633863875498 		 0.2961203804085873 		 0.01323557618863435 		 0.1962714111470415 

dictionary size: 1024
neuron num 		 error 		 order -0.95 		 h10 error 		 order -0.85 
4 		 0.5524814030342684 		 * 		 0.6510264586399078 		 * 
8 		 0.41693439791301345 		 0.40610550080017466 		 0.6440600746579888 		 0.015520915863644407 
16 		 0.2185966983876227 		 0.9315487910680142 		 0.5415506789714118 		 0.2500989085859061 
32 		 0.148255897368183 		 0.56018211730979 		 0.3435533991032467 		 0.6565619962329056 
64 		 0.06794894101246404 		 1.125566522066451 		 0.24756993730054477 		 0.4726982199894277 
128 		 0.017097315982690844 		 1.9906812048820133 		 0.12830033671434088 		 0.9483111804115378 
256 		 0.006908068668006043 		 1.3074155329976909 		 0.061398197689225664 		 1.0632567448748242 
512 		 0.0017595391184031704 		 1.973084834993032 		 0.01536854437403947 		 1.998215779511468 
1024 		 0.0014429559051069225 		 0.2861703751291126 		 0.013496918328656508 		 0.1873504843053947 

dictionary size: 1024
neuron num 		 error 		 order -0.95 		 h10 error 		 order -0.85 
4 		 0.4785885380477835 		 * 		 0.650653723185187 		 * 
8 		 0.30619747554503485 		 0.6443234569363309 		 0.6093601733955905 		 0.09459473641698371 
16 		 0.19076808306833343 		 0.6826425707130935 		 0.46295259872990524 		 0.39643072644983596 
32 		 0.10004262183158627 		 0.9312050457814497 		 0.297532389386326 		 0.6378177560912073 
64 		 0.043606809517130474 		 1.197989427126349 		 0.2043382189484415 		 0.5420876611451849 
128 		 0.01531834752285273 		 1.509292765858485 		 0.11458617568568961 		 0.8345260678269854 
256 		 0.006633050152792253 		 1.2075163346372746 		 0.05808411910140735 		 0.9802173273951784 
512 		 0.0016606181006387924 		 1.9979521054281937 		 0.014539034727077004 		 1.9982122780293912 
1024 		 0.0014273477075474902 		 0.21838350492473196 		 0.013339594464404237 		 0.12421668132250233 

