RELU k = 3, Integration points: Nx 50, order 3 
RELU k = 3, Integration points: Nx 50, order 3 
RELU k = 3, Integration points: Nx 50, order 3 
RELU k = 3, Integration points: Nx 50, order 3 
RELU k = 3, Integration points: Nx 50, order 3 
dictionary size: 512
neuron num 		 error 		 order -1.67 		 h10 error 		 order -1.33 
4 		 0.31954153776697614 		 * 		 1.783611955610545 		 * 
8 		 0.4322536324908138 		 -0.4358746059340593 		 1.5619646832864675 		 0.1914399413553499 
16 		 0.09066040355908721 		 2.2533335995065435 		 0.8573780273113675 		 0.8653584841929299 
32 		 0.04326678331742468 		 1.0672127160139655 		 0.46187661657076856 		 0.8924239358605984 
64 		 0.005831044315117146 		 2.891433674936493 		 0.09123862319965464 		 2.3397909272001978 
128 		 0.0012015292585188019 		 2.2788825070239267 		 0.024881966023948845 		 1.8745441933007971 
256 		 0.0002853294776190244 		 2.0741710743353794 		 0.00844740939917908 		 1.5585196058166313 
512 		 7.65610756904724e-05 		 1.8979457955273307 		 0.0029600433416060172 		 1.5128906718983626 
1024 		 1.7812935937581314e-05 		 2.1036857781682143 		 0.0009027800964270192 		 1.713171783340069 

dictionary size: 512
neuron num 		 error 		 order -1.67 		 h10 error 		 order -1.33 
4 		 0.3797604000554978 		 * 		 1.8797372579050935 		 * 
8 		 0.4327645610720996 		 -0.18849288756881807 		 1.5987419093566921 		 0.23359396372111318 
16 		 0.09749646786518583 		 2.150160503764252 		 0.8956268859041151 		 0.8359673158322323 
32 		 0.030651604393743336 		 1.6693873626389897 		 0.3553913112136981 		 1.333489427172251 
64 		 0.006142876438107616 		 2.318976321347987 		 0.09321969933005808 		 1.930701645318644 
128 		 0.001102937395960045 		 2.4775634601036183 		 0.022901428368180664 		 2.025197277227369 
256 		 0.00028155054640752425 		 1.9698850483090562 		 0.00816592629395232 		 1.4877491315030698 
512 		 7.261470426531407e-05 		 1.9550603262987045 		 0.002762139587929279 		 1.563830316079981 
1024 		 1.9276235298665507e-05 		 1.9134384025298008 		 0.0009718935687848278 		 1.506915990385488 

dictionary size: 512
neuron num 		 error 		 order -1.67 		 h10 error 		 order -1.33 
4 		 0.384622758489637 		 * 		 1.8856191442195447 		 * 
8 		 0.33600003516838106 		 0.19498274681546832 		 1.6579749582462604 		 0.18561609430358642 
16 		 0.09881814202453912 		 1.7656135483594566 		 0.8972919721112842 		 0.8857728079436022 
32 		 0.04690978459394428 		 1.0748870544291467 		 0.5011967171225143 		 0.8402005388111787 
64 		 0.005445545775216467 		 3.106740321915906 		 0.08553357316228724 		 2.550814250018164 
128 		 0.001074326999895286 		 2.341643466440376 		 0.02310120603821802 		 1.888522637810246 
256 		 0.0002490056091120287 		 2.109183036649406 		 0.00737442445046028 		 1.6473658107129772 
512 		 7.604118407506782e-05 		 1.7113253386800642 		 0.0029248414353221903 		 1.3341720422923753 
1024 		 2.147636855121253e-05 		 1.8240309290886831 		 0.0010633238730922603 		 1.4597773259931797 

dictionary size: 512
neuron num 		 error 		 order -1.67 		 h10 error 		 order -1.33 
4 		 0.35001665225901835 		 * 		 1.8530525135736933 		 * 
8 		 0.4124230050674604 		 -0.23670124807202886 		 1.6774549751367054 		 0.14362972310138963 
16 		 0.09202574631267497 		 2.1640153590991678 		 0.8594431399236845 		 0.9647999429006023 
32 		 0.035464482818994725 		 1.3756626358361428 		 0.40969572016145744 		 1.0688493733496898 
64 		 0.006572751356631331 		 2.43180559394637 		 0.10075809185923432 		 2.0236571160379144 
128 		 0.001195422368947203 		 2.4589769656812366 		 0.026167927365520018 		 1.9450241407597306 
256 		 0.0002917235045817925 		 2.034846908040832 		 0.008511385870004919 		 1.6203336964604709 
512 		 7.687420703379589e-05 		 1.9240301019659585 		 0.002934120207309839 		 1.5364660807978854 
1024 		 1.9932372879283516e-05 		 1.9473861556522984 		 0.0009881741235082345 		 1.5700907949295528 

dictionary size: 512
neuron num 		 error 		 order -1.67 		 h10 error 		 order -1.33 
4 		 0.3730050224386542 		 * 		 1.8890695189565985 		 * 
8 		 0.41613610269158824 		 -0.15786040139413185 		 1.4436924824695496 		 0.38791232491404426 
16 		 0.09105802152654478 		 2.19219743911733 		 0.8620900650127437 		 0.7438529651072591 
32 		 0.03198410847900814 		 1.5094308430531544 		 0.3696887457691242 		 1.22152747463883 
64 		 0.004479675181462322 		 2.835889238081758 		 0.07479372495875265 		 2.3053219838970342 
128 		 0.0010893551099814389 		 2.0399198040239535 		 0.023336773677904748 		 1.6803121145835407 
256 		 0.0002562839882712023 		 2.0876590710980465 		 0.007758211789734958 		 1.5888090560924568 
512 		 7.282309339117025e-05 		 1.8152754166652918 		 0.0028006449576841908 		 1.469965058017051 
1024 		 2.076066328443984e-05 		 1.8105434878823967 		 0.0010338979319003728 		 1.4376653347458663 

