RELU k = 3, Integration points: Nx 50, order 3 
RELU k = 3, Integration points: Nx 50, order 3 
dictionary size: 512
neuron num 		 error 		 order -1.67 		 h10 error 		 order -1.33 
4 		 0.34809671665519676 		 * 		 1.8931824436449747 		 * 
8 		 0.23339530740247913 		 0.5767126514155588 		 1.4437205576029892 		 0.39102192312815837 
16 		 0.09354572509991389 		 1.3190319237364283 		 0.8794378258521903 		 0.7151380340141337 
32 		 0.029465510946890986 		 1.6666444424917797 		 0.36346434428289826 		 1.274767742979742 
64 		 0.006872509589506892 		 2.1001183635630642 		 0.10253372336628087 		 1.8257153527130858 
128 		 0.0012208249423005582 		 2.4929806719470085 		 0.026208326832792724 		 1.968001331978989 
256 		 0.00030142673970429227 		 2.017977032982804 		 0.008690128141639393 		 1.5925758976404314 
512 		 8.332173292629795e-05 		 1.8550426547611356 		 0.0030716300932377076 		 1.500372963392917 
1024 		 2.1099366384663808e-05 		 1.98149316951993 		 0.0010275459448023936 		 1.579801584518379 

dictionary size: 512
neuron num 		 error 		 order -1.67 		 h10 error 		 order -1.33 
4 		 0.35175586265767433 		 * 		 1.8954102136680613 		 * 
8 		 0.30792856820874304 		 0.19197874856472316 		 1.4609222460228075 		 0.37563072078671333 
16 		 0.09669455772872138 		 1.6710891225373614 		 0.8848327412152411 		 0.7234027209966039 
32 		 0.047683227498991794 		 1.0199528028844427 		 0.511686313520774 		 0.7901451252394284 
64 		 0.007926730108271086 		 2.5886841287042874 		 0.11994350161749659 		 2.092904648544035 
128 		 0.0012856291921707174 		 2.624251262821559 		 0.02714827745747978 		 2.143422428533397 
256 		 0.0003017848374107605 		 2.0908823656819164 		 0.008733449381099795 		 1.6362371814474606 
512 		 7.826548514381033e-05 		 1.9470721938258109 		 0.002956602911350341 		 1.5626110819178842 
1024 		 2.0255634597205736e-05 		 1.950052938829112 		 0.0010045585239255599 		 1.5573788787314933 

dictionary size: 512
neuron num 		 error 		 order -1.67 		 h10 error 		 order -1.33 
4 		 0.3557029345577819 		 * 		 1.879899134280022 		 * 
8 		 0.46814226024167166 		 -0.39627412949668245 		 1.4481249958147808 		 0.3764691214622223 
16 		 0.0940795139293536 		 2.31499449472768 		 0.881835136142487 		 0.7156052684716022 
32 		 0.036276432514816374 		 1.3748480205805962 		 0.424106619729718 		 1.0560819597113384 
64 		 0.007185596425812867 		 2.3358527710614068 		 0.11519264257857398 		 1.880378427677888 
128 		 0.0013550544080834202 		 2.4067571298511674 		 0.029756992876929688 		 1.952747928031744 
256 		 0.0003012411628830329 		 2.1693599551448246 		 0.008698616293939006 		 1.7743709088251336 
512 		 7.698309126427641e-05 		 1.9683054105123516 		 0.0028695400668910646 		 1.599966408218096 
1024 		 2.164898781310401e-05 		 1.8302420297953446 		 0.001029628593394753 		 1.4786954949250821 

dictionary size: 512
neuron num 		 error 		 order -1.67 		 h10 error 		 order -1.33 
4 		 0.36470531556865876 		 * 		 1.7435813650982528 		 * 
8 		 0.2701506547416855 		 0.4329670485530931 		 1.4630773290316963 		 0.2530476665284817 
16 		 0.09938018793337715 		 1.4427340032910678 		 0.8805491998796046 		 0.7325305025596678 
32 		 0.03401410732031444 		 1.5468250431585013 		 0.3904450189467704 		 1.1732842079918513 
64 		 0.005946592729185007 		 2.515998050174025 		 0.09647852996354872 		 2.0168395773029273 
128 		 0.0011704021384697594 		 2.3450589610866746 		 0.024792308524448504 		 1.9603153115974241 
256 		 0.0002978060600336048 		 1.9745592939474927 		 0.008511733634913202 		 1.5423677044201052 
512 		 7.974948271561637e-05 		 1.9008260453424335 		 0.0030138495588994244 		 1.4978455997218485 
1024 		 2.3892663995242928e-05 		 1.7389074400208062 		 0.0011490152206367914 		 1.3912094952824794 

dictionary size: 512
neuron num 		 error 		 order -1.67 		 h10 error 		 order -1.33 
4 		 0.3495672148230897 		 * 		 1.7940219458752185 		 * 
8 		 0.5252922982216754 		 -0.5875505481734713 		 1.4409740106831346 		 0.3161532231456594 
16 		 0.08565595049676879 		 2.6164950534551346 		 0.814180347908127 		 0.8236240111007116 
32 		 0.028169267537824554 		 1.6044314224486311 		 0.326927556870674 		 1.316377411532873 
64 		 0.005951259653583421 		 2.2428550818914 		 0.09680902366479623 		 1.7557575537327201 
128 		 0.0012048401036799778 		 2.3043533672728884 		 0.024778253200846572 		 1.9660670437938872 
256 		 0.0002815118169417809 		 2.0975743084269842 		 0.008304902112984153 		 1.5770394161527697 
512 		 7.558919854063833e-05 		 1.8969434854862883 		 0.0028037526296489606 		 1.5666040953184939 
1024 		 2.178326197775125e-05 		 1.7949600831174852 		 0.0010632848996352526 		 1.3988308598671624 

