


deterministic dictionary size: 1024
neuron num 		 error 		 order
4 		 0.20027562061086643 		 * 
8 		 0.045811825243636146 		 2.1281948644899145 
16 		 0.02086925517615446 		 1.1343409325152676 
32 		 0.009870932098791524 		 1.0801208836499223 
64 		 0.0033458645684890345 		 1.5608072726781803 
128 		 0.0017547340522011796 		 0.9311266581949512 
256 		 0.0014608211075902396 		 0.26447287571622297 
512 		 0.0014608211075902368 		 2.8830838534334232e-15 

deterministic dictionary size: 4096
neuron num 		 error 		 order
4 		 0.20746924066838693 		 * 
8 		 0.03945602785955024 		 2.394579830109991 
16 		 0.021905869406553088 		 0.8489282496279391 
32 		 0.00820374937066336 		 1.4169621514727444 
64 		 0.003254287920389485 		 1.3339415194257302 
128 		 0.0011711460860280808 		 1.4744208524143452 
256 		 0.0005359184782785932 		 1.1278355798429704 
512 		 0.0002985226862722662 		 0.844172987056179 

deterministic dictionary size: 16384
neuron num 		 error 		 order
4 		 0.2053510275704408 		 * 
8 		 0.04065189399648309 		 2.336697691519328 
16 		 0.018181557754740056 		 1.160846758231093 
32 		 0.006056816089466351 		 1.5858443008253795 
64 		 0.0028185163862326974 		 1.1036236507227624 
128 		 0.0012296469330083497 		 1.1966918192205769 
256 		 0.000459253872978737 		 1.4208803427605732 
512 		 0.00016830145928170074 		 1.4482442021062252 

